Id,carat,cut,color,clarity,depth,table,price,x,y,z
5729,0.25,Ideal,F,VVS1,60.9,57.0,575,4.06,4.09,2.48
5730,1.31,Very Good,J,SI2,61.8,59.0,5100,6.96,7.02,4.32
5731,1.21,Premium,I,SI2,59.9,61.0,4337,6.89,6.85,4.11
5732,0.23,Very Good,E,VVS2,62.4,59.0,530,3.91,3.94,2.45
5733,1.01,Premium,I,SI2,62.6,58.0,3818,6.43,6.38,4.01
5734,0.38,Ideal,E,VS2,61.5,54.0,968,4.67,4.69,2.88
5735,0.52,Ideal,D,I1,61.1,57.0,971,5.18,5.2,3.17
5736,0.77,Ideal,E,SI2,60.7,55.0,2834,6.01,5.95,3.63
5737,0.7,Ideal,E,VS2,61.3,57.0,3504,5.73,5.75,3.52
5738,0.41,Very Good,H,VVS2,63.1,58.0,847,4.71,4.74,2.98
5739,0.53,Ideal,G,VS1,61.9,56.0,1721,5.17,5.2,3.21
5740,0.72,Ideal,I,VS1,61.0,57.0,2048,5.76,5.83,3.56
5741,0.9,Fair,H,SI1,66.8,55.0,3145,5.98,5.9,3.97
5742,0.3,Ideal,H,VVS1,63.0,54.0,878,4.3,4.27,2.7
5743,1.09,Very Good,G,VS2,59.9,56.0,5783,6.59,6.73,3.99
5744,1.45,Very Good,J,VS2,62.6,58.0,6980,7.28,7.16,4.52
5745,0.93,Very Good,G,SI1,62.5,57.8,3933,6.15,6.28,3.87
5746,0.46,Ideal,G,IF,62.1,56.0,1654,4.93,4.96,3.07
5747,1.06,Premium,E,VS2,61.4,60.0,7123,6.57,6.53,4.02
5748,0.38,Very Good,H,VS1,61.3,54.0,705,4.68,4.7,2.88
5749,0.7,Ideal,H,VS2,62.6,54.0,2475,5.7,5.73,3.58
5750,0.35,Premium,I,SI2,60.9,58.0,512,4.56,4.53,2.77
5751,0.7,Very Good,D,SI1,59.4,63.0,2628,5.78,5.76,3.43
5752,0.58,Very Good,G,SI1,59.3,58.0,1408,5.41,5.52,3.24
5753,0.5,Premium,F,VS2,60.6,59.0,1433,5.13,5.03,3.08
5754,0.3,Ideal,G,VVS2,61.8,56.0,665,4.31,4.33,2.67
5755,0.33,Ideal,G,VS2,62.2,56.0,743,4.47,4.44,2.77
5756,0.5,Fair,H,VS2,56.3,65.0,1332,5.24,5.21,2.94
5757,1.01,Very Good,H,VS2,61.2,57.0,5861,6.49,6.41,3.95
5758,1.02,Premium,H,I1,62.5,60.0,3199,6.41,6.39,4.0
5759,1.0,Very Good,E,SI2,63.5,56.0,3763,6.37,6.3,4.02
5760,1.21,Very Good,I,SI1,61.2,62.0,5190,6.81,6.84,4.18
5761,0.5,Fair,F,SI2,65.5,54.0,1031,5.06,4.92,3.25
5762,1.1,Very Good,I,SI2,62.6,59.0,4192,6.53,6.57,4.1
5763,0.3,Ideal,F,SI1,62.3,54.0,500,4.27,4.3,2.67
5764,0.41,Very Good,E,SI2,63.5,55.0,818,4.73,4.69,2.99
5765,0.43,Ideal,H,VS2,60.7,55.0,857,4.96,4.89,2.99
5766,0.4,Premium,D,VS1,62.1,58.0,1200,4.73,4.7,2.93
5767,1.0,Ideal,E,SI1,62.2,53.9,5728,6.4,6.5,4.0
5768,0.31,Fair,E,VS2,54.2,63.0,814,4.61,4.51,2.47
5769,0.33,Very Good,E,VVS1,61.8,54.0,945,4.47,4.49,2.77
5770,0.53,Good,F,SI1,63.8,58.0,1363,5.17,5.12,3.28
5771,0.61,Very Good,F,VS2,61.8,56.0,1989,5.42,5.46,3.36
5772,0.5,Premium,E,VS2,62.9,60.0,1629,5.04,5.01,3.16
5773,0.32,Good,D,SI1,63.8,56.0,589,4.33,4.35,2.77
5774,0.51,Premium,E,SI1,61.2,61.0,1402,5.16,5.13,3.15
5775,0.4,Ideal,J,VS2,62.3,55.0,598,4.72,4.75,2.95
5776,1.18,Premium,D,SI2,61.8,58.0,4211,6.83,6.7,4.19
5777,1.07,Good,F,VS2,57.6,60.0,6828,6.83,6.79,3.92
5778,0.41,Good,E,SI2,63.4,58.0,638,4.71,4.75,3.0
5779,0.3,Very Good,E,SI1,61.9,58.0,526,4.27,4.33,2.66
5780,0.3,Good,H,VVS1,63.4,55.0,684,4.28,4.3,2.72
5781,0.9,Good,G,VS1,64.5,57.0,3977,6.01,6.08,3.9
5782,2.01,Good,H,SI2,63.7,59.0,12423,7.89,7.84,5.01
5783,1.5,Premium,H,SI2,62.2,60.0,7812,7.29,7.24,4.52
5784,1.02,Premium,G,SI1,60.8,58.0,4633,6.46,6.5,3.94
5785,0.5,Ideal,H,IF,61.0,56.0,1923,5.15,5.17,3.15
5786,0.3,Very Good,F,SI2,63.4,56.0,506,4.29,4.26,2.71
5787,1.22,Ideal,I,SI1,61.9,56.0,5261,6.87,6.83,4.24
5788,0.79,Premium,J,SI1,59.1,57.0,2199,6.08,6.06,3.59
5789,1.06,Good,F,SI1,57.0,64.0,4488,6.8,6.71,3.85
5790,0.38,Premium,G,IF,62.5,60.0,1148,4.61,4.64,2.89
5791,1.51,Very Good,E,VS1,59.5,59.0,16129,7.48,7.54,4.47
5792,1.07,Very Good,G,SI2,64.6,60.0,4340,6.35,6.4,4.12
5793,1.2,Ideal,F,VS1,62.9,53.0,9032,6.86,6.81,4.3
5794,0.27,Very Good,G,IF,60.8,57.0,566,4.2,4.22,2.56
5795,1.31,Ideal,G,VS1,62.0,58.0,10359,6.97,7.02,4.34
5796,1.0,Good,I,SI1,61.0,60.0,4496,6.36,6.39,3.89
5797,0.51,Very Good,D,SI1,60.0,58.0,1380,5.19,5.24,3.13
5798,1.0,Good,E,SI1,63.9,57.0,4573,6.31,6.34,4.04
5799,0.7,Ideal,G,SI1,61.9,56.0,2414,5.66,5.71,3.52
5800,0.33,Ideal,J,VVS1,62.1,54.0,509,4.45,4.47,2.77
5801,0.32,Ideal,G,SI1,61.5,55.0,647,4.4,4.44,2.72
5802,0.32,Ideal,F,VVS2,62.0,55.0,1008,4.41,4.39,2.73
5803,2.04,Premium,I,SI2,60.3,60.0,14660,8.26,8.19,4.96
5804,0.44,Premium,H,VS2,61.3,58.0,810,4.88,4.91,3.0
5805,0.41,Premium,D,VVS2,62.5,58.0,1295,4.72,4.75,2.96
5806,1.0,Fair,E,VS2,67.0,54.0,5729,6.23,6.18,4.16
5807,0.3,Very Good,J,VS1,63.3,60.0,506,4.25,4.22,2.68
5808,1.53,Very Good,J,VS1,59.5,60.0,7677,7.55,7.65,4.52
5809,1.09,Ideal,I,SI1,61.9,55.0,5486,6.66,6.62,4.11
5810,1.02,Premium,I,VS2,61.1,59.0,3713,6.4,6.37,3.9
5811,1.22,Very Good,H,SI1,62.4,57.0,6323,6.78,6.82,4.24
5812,0.72,Ideal,E,SI1,61.0,56.0,2951,5.84,5.79,3.55
5813,0.3,Ideal,G,SI1,61.8,56.0,477,4.34,4.37,2.69
5814,0.28,Premium,H,VVS1,61.5,58.0,646,4.22,4.17,2.58
5815,1.04,Premium,E,SI2,60.1,58.0,3392,6.65,6.56,3.97
5816,1.1,Ideal,I,SI2,61.7,56.0,3216,6.65,6.6,4.09
5817,0.9,Premium,E,SI1,61.3,60.0,4209,6.19,6.14,3.78
5818,0.23,Very Good,E,VVS1,61.3,58.0,472,3.94,3.96,2.42
5819,0.32,Ideal,H,VVS1,61.3,56.0,905,4.42,4.45,2.72
5820,1.5,Premium,H,SI1,61.4,56.0,7636,7.47,7.34,4.55
5821,0.91,Good,F,VS1,63.1,59.0,4502,6.14,6.19,3.89
5822,0.3,Good,G,VVS2,63.5,56.0,684,4.29,4.34,2.74
5823,0.31,Premium,E,VS2,60.6,59.0,872,4.39,4.36,2.65
5824,0.42,Ideal,D,VS2,62.1,54.0,1031,4.8,4.83,2.99
5825,0.46,Very Good,E,VS2,58.9,59.4,1345,5.05,5.1,2.99
5826,0.51,Ideal,F,SI1,62.9,56.0,1406,5.1,5.05,3.19
5827,0.34,Ideal,D,VS2,61.4,55.0,967,4.51,4.54,2.78
5828,0.51,Ideal,H,VVS2,61.2,57.0,1669,5.14,5.19,3.16
5829,0.34,Ideal,F,VS2,62.1,56.0,726,4.48,4.51,2.79
5830,0.51,Ideal,H,SI1,62.1,55.0,1331,5.17,5.15,3.2
5831,0.28,Very Good,F,VVS1,58.9,62.0,572,4.27,4.32,2.53
5832,1.05,Ideal,F,SI2,60.3,55.0,4987,6.55,6.68,3.99
5833,1.05,Premium,F,SI2,62.3,56.0,4363,6.55,6.51,4.07
5834,1.04,Premium,E,SI2,62.4,57.0,4892,6.51,6.43,4.04
5835,1.04,Ideal,G,VS1,61.1,56.0,6632,6.58,6.55,4.01
5836,1.66,Very Good,G,VS2,63.2,56.0,15229,7.61,7.49,4.77
5837,1.06,Ideal,D,SI1,62.7,54.0,6055,6.55,6.52,4.1
5838,1.01,Premium,F,VS1,61.3,58.0,7127,6.52,6.44,3.97
5839,0.41,Ideal,I,VS1,60.9,53.0,755,4.8,4.85,2.94
5840,0.5,Very Good,G,VVS1,63.3,53.0,1885,5.06,5.09,3.21
5841,1.04,Premium,G,SI2,60.9,58.0,4277,6.58,6.52,3.99
5842,0.3,Premium,G,VS1,60.8,61.0,725,4.34,4.31,2.63
5843,0.38,Ideal,E,SI1,59.4,61.0,660,4.72,4.74,2.81
5844,0.3,Ideal,G,IF,62.3,56.0,863,4.31,4.32,2.69
5845,0.36,Premium,G,SI1,61.8,59.0,537,4.55,4.57,2.82
5846,0.72,Ideal,F,VS2,62.6,56.0,2956,5.75,5.72,3.59
5847,1.23,Premium,G,SI2,62.1,58.0,4918,6.85,6.8,4.24
5848,0.91,Premium,F,SI2,61.7,58.0,3609,6.22,6.29,3.86
5849,0.72,Ideal,D,SI2,61.1,58.0,2514,5.76,5.79,3.53
5850,0.73,Ideal,E,SI2,61.3,54.0,2431,5.8,5.88,3.58
5851,0.76,Ideal,D,VVS2,62.3,57.0,4150,5.87,5.84,3.65
5852,0.32,Ideal,I,VS1,61.7,55.6,529,4.41,4.43,2.73
5853,1.02,Ideal,E,SI2,62.1,55.0,4798,6.51,6.4,4.01
5854,1.27,Very Good,H,VS2,59.2,58.0,7176,7.07,7.15,4.21
5855,1.54,Premium,E,VS2,62.3,58.0,15002,7.31,7.39,4.58
5856,0.37,Ideal,H,VVS1,61.4,55.0,815,4.64,4.67,2.86
5857,1.01,Good,D,SI2,63.6,57.0,4719,6.35,6.39,4.05
5858,1.02,Ideal,F,VS2,62.7,54.0,6597,6.5,6.42,4.05
5859,1.5,Very Good,H,SI2,62.0,63.0,7161,7.24,7.28,4.5
5860,1.28,Very Good,E,SI1,59.8,59.1,7927,6.99,7.05,4.21
5861,0.73,Ideal,H,SI2,62.3,56.0,2278,5.78,5.72,3.58
5862,0.26,Ideal,F,VVS2,62.5,56.0,769,4.12,4.1,2.57
5863,1.03,Ideal,G,VVS2,61.6,57.0,7876,6.48,6.51,4.0
5864,1.01,Ideal,F,SI1,62.3,57.0,4829,6.4,6.44,4.0
5865,0.7,Very Good,G,VS1,61.4,55.0,2748,5.7,5.74,3.51
5866,0.73,Ideal,H,SI1,61.5,55.0,2605,5.79,5.84,3.57
5867,0.28,Ideal,H,VVS1,62.0,55.0,586,4.17,4.22,2.6
5868,0.28,Very Good,E,VVS2,64.0,54.0,572,4.11,4.17,2.65
5869,2.03,Very Good,J,SI2,61.7,61.0,11968,8.04,8.18,5.0
5870,1.2,Very Good,G,VVS2,62.1,58.0,9337,6.74,6.78,4.2
5871,0.9,Premium,H,VS1,62.4,58.0,4309,6.15,6.19,3.85
5872,1.07,Ideal,G,SI1,60.2,57.0,5453,6.7,6.59,4.0
5873,0.31,Ideal,I,VVS1,62.1,54.0,511,4.34,4.39,2.71
5874,0.67,Good,G,VS2,57.5,60.1,2131,5.78,5.83,3.34
5875,0.78,Very Good,J,SI1,58.0,61.0,2164,6.07,6.13,3.54
5876,0.74,Ideal,F,VS1,61.7,56.0,3170,5.83,5.78,3.58
5877,1.18,Ideal,E,I1,61.6,56.0,4153,6.79,6.82,4.19
5878,0.36,Ideal,D,VVS2,62.0,54.0,1033,4.57,4.63,2.85
5879,0.35,Ideal,I,VS2,61.7,57.0,630,4.56,4.52,2.8
5880,0.34,Premium,H,VS2,61.7,60.0,689,4.51,4.47,2.77
5881,1.0,Very Good,D,SI1,63.2,59.0,5320,6.29,6.4,4.01
5882,0.32,Ideal,E,VVS1,60.9,57.0,954,4.42,4.45,2.7
5883,1.1,Premium,F,SI2,62.6,57.0,4832,6.6,6.56,4.12
5884,0.35,Very Good,G,VVS2,62.2,58.0,798,4.49,4.54,2.81
5885,0.5,Very Good,D,VS2,63.8,56.0,1580,5.05,5.08,3.23
5886,0.59,Premium,H,SI1,62.2,59.0,1106,5.38,5.32,3.33
5887,0.32,Ideal,G,VVS2,62.0,54.0,708,4.39,4.42,2.73
5888,1.15,Good,H,VS1,64.3,54.0,5935,6.66,6.62,4.27
5889,0.53,Good,I,SI1,61.3,62.0,1033,5.14,5.17,3.16
5890,1.35,Very Good,J,SI1,61.1,61.0,5613,7.1,7.13,4.35
5891,0.28,Ideal,G,IF,61.3,57.0,650,4.25,4.27,2.6
5892,1.14,Very Good,F,VS2,59.0,60.0,8131,6.84,6.81,4.03
5893,0.51,Very Good,D,VS1,63.1,58.0,1838,5.05,5.1,3.2
5894,0.9,Premium,F,SI2,62.2,61.0,3507,6.08,6.04,3.77
5895,0.5,Ideal,E,SI1,63.0,56.0,1317,5.13,5.06,3.21
5896,1.04,Very Good,D,SI1,58.9,58.0,6138,6.66,6.69,3.93
5897,0.73,Ideal,D,VS2,61.8,54.0,3319,5.89,5.92,3.65
5898,1.5,Premium,F,SI1,62.1,60.0,8770,7.32,7.27,4.53
5899,0.3,Ideal,G,VS1,61.8,54.0,605,4.29,4.32,2.66
5900,1.13,Premium,I,VS2,62.4,59.0,4964,6.63,6.58,4.12
5901,0.33,Good,I,SI1,63.2,58.0,445,4.36,4.38,2.76
5902,0.51,Ideal,G,VS1,62.1,55.0,1656,5.14,5.17,3.2
5903,0.92,Premium,H,VS2,62.4,60.0,4451,6.24,6.16,3.87
5904,0.42,Premium,G,VS1,60.8,59.0,984,4.85,4.79,2.93
5905,0.38,Ideal,G,VS1,60.8,56.0,1069,4.71,4.66,2.85
5906,0.4,Ideal,J,VS2,62.9,57.0,765,4.75,4.7,2.97
5907,1.0,Very Good,E,SI2,59.5,63.0,4077,6.47,6.41,3.83
5908,1.21,Premium,I,SI1,61.7,56.0,6098,6.87,6.82,4.22
5909,0.33,Premium,D,VS1,60.3,61.0,933,4.51,4.48,2.71
5910,1.01,Very Good,D,SI2,60.1,60.0,4690,6.41,6.47,3.87
5911,1.01,Good,F,SI1,63.7,57.0,4899,6.35,6.4,4.06
5912,1.0,Ideal,D,SI2,62.7,58.0,5246,6.34,6.39,3.99
5913,0.35,Premium,G,VS1,62.3,59.0,906,4.53,4.49,2.81
5914,0.41,Ideal,F,VS1,62.5,57.0,1076,4.76,4.75,2.97
5915,0.71,Ideal,G,VS1,61.5,55.0,3431,5.72,5.77,3.54
5916,0.35,Ideal,E,IF,62.2,56.0,1254,4.52,4.51,2.81
5917,0.36,Ideal,E,VS2,61.2,56.0,1013,4.63,4.59,2.82
5918,0.63,Very Good,G,VVS2,63.3,59.2,2188,5.42,5.44,3.44
5919,2.12,Very Good,H,SI1,60.7,55.0,18118,8.28,8.36,5.05
5920,0.53,Ideal,G,VS1,62.1,57.0,1721,5.16,5.18,3.21
5921,1.51,Premium,G,SI1,62.4,62.0,10688,7.25,7.12,4.48
5922,1.0,Very Good,D,SI2,60.5,60.0,5227,6.41,6.44,3.89
5923,0.4,Premium,I,VVS1,60.8,58.0,842,4.76,4.78,2.9
5924,0.34,Very Good,E,SI1,63.2,55.0,765,4.49,4.46,2.83
5925,1.17,Ideal,F,VS2,61.8,55.0,8072,6.81,6.74,4.19
5926,0.71,Ideal,D,SI1,61.4,56.0,3674,5.7,5.74,3.51
5927,0.4,Premium,F,SI1,62.6,59.0,737,4.68,4.74,2.95
5928,0.41,Good,J,VS1,63.2,59.0,621,4.67,4.7,2.96
5929,0.37,Ideal,E,VS2,62.6,56.0,1041,4.61,4.56,2.87
5930,0.7,Very Good,E,SI2,62.8,59.0,2453,5.64,5.69,3.56
5931,1.01,Good,J,SI1,63.6,54.0,3665,6.44,6.36,4.07
5932,0.35,Good,D,SI1,63.3,57.0,644,4.51,4.53,2.86
5933,0.42,Ideal,H,IF,62.4,57.0,1201,4.79,4.82,2.99
5934,0.6,Ideal,D,VS2,61.4,53.0,2473,5.45,5.5,3.36
5935,2.02,Very Good,G,SI2,62.8,55.0,15877,8.06,8.11,5.08
5936,1.05,Very Good,E,SI1,60.7,56.0,5770,6.54,6.6,3.99
5937,0.54,Very Good,F,VS1,61.0,58.0,1813,5.24,5.25,3.2
5938,0.56,Ideal,D,SI2,60.0,58.0,1568,5.42,5.38,3.24
5939,1.51,Ideal,H,SI1,62.4,57.0,9569,7.3,7.34,4.57
5940,0.34,Premium,H,VS2,61.1,58.0,689,4.5,4.47,2.74
5941,1.05,Very Good,G,SI1,62.0,56.0,5480,6.47,6.55,4.04
5942,1.01,Good,H,VS1,63.8,59.0,5416,6.3,6.34,4.03
5943,0.38,Premium,D,VS1,62.4,59.0,1140,4.63,4.6,2.88
5944,1.02,Fair,D,SI1,66.4,60.0,4798,6.29,6.21,4.15
5945,0.44,Premium,H,VS2,61.3,58.0,1040,4.91,4.88,3.0
5946,0.5,Very Good,G,SI1,62.1,56.0,1197,5.05,5.09,3.15
5947,1.06,Ideal,F,SI1,62.1,57.0,5655,6.51,6.53,4.05
5948,0.71,Good,G,SI1,62.3,56.0,2251,5.68,5.72,3.55
5949,0.31,Ideal,F,IF,62.3,54.0,914,4.37,4.39,2.73
5950,0.71,Good,D,SI1,63.1,56.0,2719,5.68,5.73,3.6
5951,0.52,Very Good,F,VVS2,61.5,57.0,2079,5.18,5.22,3.19
5952,0.56,Premium,D,SI1,61.9,58.0,1723,5.27,5.33,3.28
5953,0.34,Ideal,E,VS1,62.2,55.0,805,4.49,4.52,2.8
5954,0.42,Very Good,D,SI1,63.0,57.0,756,4.77,4.81,3.02
5955,0.5,Premium,E,VS2,61.5,56.0,1746,5.11,5.07,3.13
5956,0.51,Very Good,G,SI1,61.4,54.0,1237,5.2,5.22,3.2
5957,0.33,Ideal,E,VS2,62.1,56.0,723,4.4,4.45,2.75
5958,0.31,Premium,E,SI1,59.1,59.0,698,4.44,4.42,2.62
5959,1.7,Premium,E,VS2,58.6,62.0,18342,7.92,7.84,4.62
5960,0.52,Ideal,G,VS2,61.9,55.0,1549,5.15,5.18,3.2
5961,1.03,Ideal,G,VS2,62.8,55.0,6645,6.48,6.44,4.05
5962,0.33,Very Good,H,VS2,62.2,57.0,521,4.42,4.46,2.76
5963,1.01,Premium,H,VS2,60.7,61.0,4921,6.47,6.39,3.9
5964,0.77,Ideal,F,SI1,61.9,57.0,2642,5.88,5.91,3.65
5965,1.51,Very Good,I,SI1,62.6,60.0,8637,7.27,7.34,4.57
5966,0.58,Ideal,G,IF,60.9,57.0,2508,5.39,5.46,3.3
5967,0.35,Ideal,E,VS2,62.4,57.0,767,4.52,4.55,2.83
5968,0.32,Ideal,G,VVS1,61.4,55.0,1080,4.44,4.42,2.72
5969,0.78,Premium,E,VS1,62.5,57.0,3444,5.94,5.9,3.7
5970,0.7,Premium,G,VS2,62.5,55.0,2479,5.69,5.64,3.54
5971,1.01,Premium,E,VS2,58.1,60.0,6516,6.58,6.51,3.8
5972,0.5,Good,F,VS2,63.3,60.0,1395,4.99,5.03,3.17
5973,0.25,Very Good,F,VVS2,60.4,59.0,575,4.09,4.12,2.48
5974,1.55,Ideal,D,SI2,61.1,56.0,10275,7.45,7.48,4.56
5975,0.37,Ideal,H,SI1,62.1,56.0,552,4.6,4.61,2.86
5976,1.09,Premium,G,SI1,60.2,60.0,5402,6.7,6.66,4.02
5977,0.72,Ideal,D,SI1,61.9,55.0,2903,5.78,5.75,3.57
5978,2.0,Premium,J,VS2,60.8,62.0,13162,8.12,8.09,4.93
5979,0.26,Very Good,G,VVS2,62.5,55.0,486,4.1,4.12,2.57
5980,0.32,Ideal,F,VS2,61.1,57.0,645,4.4,4.44,2.7
5981,0.35,Premium,I,VS1,60.7,62.0,709,4.59,4.53,2.77
5982,1.64,Fair,E,SI2,63.1,60.0,8954,7.58,7.5,4.75
5983,0.32,Ideal,D,VS2,62.5,56.0,972,4.45,4.38,2.76
5984,0.43,Premium,D,SI2,62.6,58.0,919,4.82,4.79,3.01
5985,1.57,Ideal,F,SI1,62.4,56.0,11523,7.46,7.41,4.64
5986,0.41,Ideal,E,VS1,61.5,56.0,1076,4.79,4.77,2.94
5987,0.3,Ideal,G,SI2,61.4,56.0,422,4.33,4.34,2.66
5988,1.09,Ideal,H,SI1,62.3,57.0,5149,6.58,6.54,4.09
5989,0.32,Premium,H,VS2,59.5,58.0,648,4.5,4.47,2.67
5990,1.01,Good,G,VS1,63.7,57.0,6499,6.32,6.37,4.04
5991,0.32,Ideal,E,VS2,62.0,55.0,900,4.46,4.38,2.74
5992,0.41,Ideal,G,VVS1,62.5,53.0,1068,4.76,4.78,2.98
5993,0.34,Ideal,D,VS2,61.0,56.0,967,4.51,4.54,2.76
5994,0.9,Very Good,G,VS2,59.0,58.0,3910,6.25,6.29,3.7
5995,0.31,Ideal,G,VVS2,62.7,57.0,907,4.33,4.31,2.71
5996,1.31,Ideal,E,VS1,61.7,55.0,10711,7.11,7.05,4.37
5997,0.32,Ideal,F,VS2,61.4,55.0,781,4.42,4.44,2.72
5998,0.51,Ideal,D,VS2,60.8,57.0,1769,5.18,5.21,3.16
5999,0.3,Premium,H,VS1,61.4,59.0,675,4.33,4.3,2.65
6000,1.21,Good,G,VS2,64.1,58.0,7047,6.74,6.67,4.3
6001,0.28,Ideal,F,VVS2,61.8,56.0,642,4.21,4.24,2.61
6002,0.31,Premium,E,VVS1,61.5,58.0,988,4.37,4.35,2.68
6003,1.58,Premium,J,SI1,59.8,58.0,7654,7.61,7.57,4.54
6004,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62
6005,0.5,Premium,D,VS2,60.2,57.0,1845,5.21,5.15,3.12
6006,0.41,Premium,G,VS1,62.3,56.0,961,4.8,4.77,2.98
6007,0.3,Good,F,SI1,63.5,57.0,500,4.24,4.27,2.7
6008,0.41,Ideal,G,IF,62.1,57.0,1276,4.76,4.77,2.96
6009,0.46,Ideal,E,VVS1,62.6,57.0,1661,4.98,4.89,3.09
6010,0.31,Very Good,F,VVS1,61.3,56.0,808,4.35,4.37,2.67
6011,0.7,Very Good,G,VS1,60.1,60.0,3017,5.73,5.76,3.45
6012,1.36,Very Good,D,VVS2,62.6,58.0,14236,7.06,7.21,4.47
6013,0.77,Very Good,D,VS2,61.2,59.0,3489,5.86,5.91,3.6
6014,0.33,Ideal,G,SI2,61.9,56.0,434,4.41,4.45,2.74
6015,0.35,Very Good,G,VVS2,62.4,56.0,798,4.47,4.53,2.81
6016,0.7,Very Good,G,SI1,60.6,57.0,2042,5.73,5.79,3.49
6017,0.42,Ideal,D,VS2,61.5,55.0,961,4.83,4.86,2.98
6018,1.59,Premium,G,SI1,62.1,58.0,10996,7.45,7.43,4.62
6019,0.31,Premium,E,VS2,60.0,59.0,680,4.35,4.39,2.62
6020,1.51,Premium,H,VS2,61.2,59.0,7534,7.4,7.38,4.52
6021,1.01,Premium,D,SI1,61.8,58.0,6075,6.42,6.37,3.95
6022,2.31,Premium,H,SI2,62.1,58.0,12269,8.55,8.47,5.29
6023,1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93
6024,0.46,Very Good,E,SI1,61.8,57.0,968,4.93,4.98,3.06
6025,1.01,Very Good,J,SI1,63.0,54.0,4194,6.35,6.41,4.02
6026,0.71,Ideal,E,VS2,61.1,56.0,3342,5.77,5.79,3.53
6027,1.01,Good,F,VVS2,62.7,61.0,7915,6.3,6.34,3.96
6028,1.01,Premium,G,SI1,61.2,61.0,4672,6.47,6.41,3.94
6029,0.3,Very Good,H,VS2,62.5,58.0,473,4.26,4.28,2.67
6030,0.32,Ideal,G,VVS2,60.6,57.0,730,4.41,4.43,2.68
6031,0.4,Ideal,G,VVS1,61.2,56.0,1043,4.77,4.8,2.93
6032,0.39,Ideal,F,SI1,61.8,57.0,697,4.68,4.73,2.91
6033,0.26,Very Good,E,VVS2,64.3,57.0,547,3.99,4.03,2.58
6034,0.27,Very Good,E,VS1,62.3,54.0,463,4.17,4.21,2.61
6035,1.51,Very Good,J,VS2,61.0,58.0,7744,7.35,7.41,4.5
6036,0.33,Very Good,H,SI1,63.0,57.0,475,4.39,4.41,2.77
6037,0.56,Ideal,D,SI1,61.8,55.0,2061,5.32,5.36,3.3
6038,0.24,Ideal,F,VVS2,62.4,55.0,526,3.99,4.02,2.5
6039,2.02,Good,F,SI2,61.9,61.0,15261,8.06,8.02,4.98
6040,0.38,Ideal,D,VS1,62.4,56.0,1170,4.68,4.64,2.91
6041,0.32,Ideal,F,IF,61.6,56.0,929,4.43,4.47,2.74
6042,0.34,Ideal,H,VS1,62.1,57.0,765,4.51,4.48,2.79
6043,0.53,Ideal,F,IF,61.3,57.0,2682,5.21,5.19,3.19
6044,0.7,Premium,G,VS1,61.4,59.0,2535,5.74,5.59,3.51
6045,0.52,Ideal,F,VS1,62.5,57.0,1707,5.17,5.13,3.22
6046,1.27,Premium,I,SI1,60.9,59.0,5690,6.99,6.94,4.24
6047,0.42,Good,E,SI1,63.6,61.0,945,4.73,4.7,3.0
6048,0.3,Ideal,I,VS1,62.2,56.0,518,4.27,4.31,2.67
6049,1.52,Ideal,H,VS1,60.1,60.0,11946,7.54,7.51,4.52
6050,1.2,Very Good,E,SI1,61.0,59.0,6703,6.91,6.83,4.19
6051,0.56,Ideal,H,VS1,61.1,57.0,1715,5.31,5.34,3.25
6052,1.75,Premium,J,VS1,62.2,59.0,10429,7.7,7.74,4.8
6053,0.9,Premium,H,SI1,62.1,61.0,3387,6.11,6.07,3.78
6054,2.06,Good,I,SI1,59.0,64.0,14920,8.39,8.13,4.89
6055,0.31,Ideal,H,VS1,62.0,53.0,562,4.34,4.37,2.7
6056,0.43,Good,F,SI1,63.6,53.0,739,4.79,4.83,3.06
6057,1.56,Very Good,H,VVS2,63.3,58.0,12098,7.3,7.35,4.64
6058,0.43,Ideal,F,SI1,61.3,56.0,948,4.9,4.86,2.99
6059,2.01,Very Good,J,SI1,59.3,62.0,12257,8.15,8.2,4.85
6060,1.18,Ideal,G,SI1,62.5,55.0,6112,6.77,6.74,4.22
6061,0.31,Premium,J,SI1,60.9,60.0,465,4.38,4.36,2.66
6062,2.01,Very Good,J,SI1,61.6,60.0,12084,7.99,8.02,4.93
6063,1.03,Premium,H,SI2,62.7,62.0,3749,6.43,6.38,4.02
6064,0.41,Premium,G,VS2,62.6,59.0,827,4.73,4.76,2.97
6065,1.11,Premium,H,VS1,62.3,57.0,4687,6.67,6.62,4.14
6066,0.7,Premium,I,I1,62.3,58.0,1107,5.69,5.55,3.51
6067,0.41,Very Good,G,VS2,61.3,57.0,827,4.76,4.8,2.93
6068,0.32,Ideal,E,VS2,61.6,56.0,637,4.4,4.43,2.72
6069,1.12,Fair,I,SI2,64.6,57.0,3669,6.5,6.47,4.19
6070,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53
6071,0.6,Ideal,G,VS1,61.3,57.0,2105,5.4,5.47,3.33
6072,1.06,Ideal,F,SI2,62.7,56.0,3461,6.52,6.47,4.07
6073,0.48,Ideal,F,VS1,60.8,56.3,1404,5.1,5.08,3.1
6074,0.54,Premium,H,VS1,62.6,59.0,1720,5.22,5.19,3.26
